expiry,SPY,QQQ,IWM,AAPL,MSFT,NVDA,AMZN,META,GOOGL,BRK-B,JPM,XOM,UNH
2026-09-11,0.1959033860501625,0.2616669148020293,0.3453739415576951,0.3256580527347638,0.3432105404601948,0.411837041966644,0.3580831511671977,0.4687933433220166,0.3384182958443583,0.1673739134463878,0.2738927298009799,0.344323681683062,0.3465861296814937
2026-09-14,0.1279999573818926,0.1737241480996295,0.2060301455447759,0.2411210028425697,0.2244801277119014,0.2881168786536583,0.24995413610482,0.3394538596474384,0.2418634396884142,,,,
2026-09-15,0.132882374301927,0.1826422921199307,0.2050669754127593,,,,,,,,,,
2026-09-16,0.1485806532272279,0.2024175406769913,0.2286492397963166,0.2711165024858135,0.2532402327217069,0.3347119296112435,0.2891952356181625,0.3846086132280147,0.2815400649757894,,,,
2026-09-17,0.1543390993234245,0.209218645246055,0.232278538008467,,,,,,,,,,
2026-09-18,0.159092044007497,0.2128074699575551,0.2288953609965267,0.2745558926767861,0.2633291806406043,0.3444276773110192,0.3087230885258227,0.4006199720675079,0.2917978141967409,0.138350395981686,0.2297490732669487,0.2981612156790436,0.2737940143999606
2026-09-25,0.1450796044270536,0.2023012940811208,0.2095859596906351,0.2597678422702376,0.2599721351307723,0.3326975830774639,0.308654084306365,0.3961083144057694,0.2885593632492749,0.1380860023135575,,0.2931847703164934,0.2741875283314121
2026-09-30,0.14148022003726,0.1982413779519791,0.2025539347702023,,,,,,,,,,
2026-10-02,0.1447135273750363,0.2023577738822339,0.205903476599602,0.257697587792348,0.2617547644296218,0.3360624131561719,0.3090718646653588,0.3913353896863352,0.2928206571914243,0.1371232328953592,0.2224013502471185,0.2986809368979731,0.2895189581384795
2026-10-09,0.1438153892805488,0.2005769877216138,0.2015300728294682,0.2510406854899113,0.2579977274415262,0.3344422937966461,0.3065220955617601,0.3895140826423058,0.2913968549246417,0.1395041449828067,0.2238362699241798,0.2981448306579314,0.3166340543928361
2026-10-16,0.1443360120184798,0.2015980397574196,0.2009219055226899,0.2543678618668639,0.2606586617669303,0.338079974810803,0.3106966434938708,0.3922245030466554,0.3051595662896051,0.1403485844459265,0.2551317964238023,0.2923153942314002,0.3461316962934262
2026-10-23,0.1443519749550396,0.2028980715159909,0.1979244130590926,0.2607678668458792,0.2675924511326141,0.3430487437477035,0.3182676527507528,0.3919401723821113,0.298100787317955,,,,0.3441429748686669
2026-10-30,0.1473060864019644,0.2068466376250417,,,,,,,,,,,
2026-11-20,0.1503844905307271,0.2120703410627509,0.2022496311862102,0.2775335625414391,0.3136601623528492,0.3855408884385382,0.3740484323174742,0.4426868503596501,0.3455459981982237,0.1604589444579526,0.2472230678307019,0.3082727493366723,0.3244200959175174
2026-11-30,0.1485975933551845,0.2092971759961428,,,,,,,,,,,
2026-12-18,0.1524398860135456,0.2145906360493658,0.2027817948951757,0.2731147852079452,0.3024585297537661,0.3815900241549081,0.3564903445562978,0.4272779344021138,0.3388418626308433,0.1622862387805132,0.2467165061121355,0.306005354355565,0.3220693329907782
2026-12-31,0.150785714608773,0.2142340394229255,0.2005433385053102,,,,,,,,,,
2027-01-15,0.1535268299893396,0.2148176287088441,0.2008616254813656,0.2702601703004919,0.2949756646421901,0.3828391803154364,0.3486526018212847,0.4180924829514562,0.3328581919232036,0.1612108083084824,0.2533251404886042,0.3010592385038885,0.3232374191575905
2027-01-29,0.1546473052399049,,,,,,,,,,,,
2027-02-19,,0.2183362653188213,0.2027139711324585,0.279211722147635,,0.3831605188083381,0.3673178141387347,0.4328814936011431,0.3474051486673427,,,,
2027-02-26,0.157852683952992,,,,,,,,,,,,
2027-03-19,0.1599194935479464,0.2223497797116257,0.2043574270867131,0.2774105289793904,0.3146032938621557,0.3960187750735247,0.3637746037261847,0.4286838373273612,0.3487671316788951,0.1709490435159228,0.2548609478452321,0.2992698669392516,0.3235766831907819
2027-03-31,0.1593957405631868,0.2218544185482228,,,,,,,,,,,
2027-04-16,,,0.2060205627610519,0.2823471992979466,0.3109279738254689,,0.3584335445650923,,,,,,
2027-06-17,0.1663921179547263,0.2313964547479322,0.2096900056072879,0.2824429240803605,0.3178515269201995,0.3949017213986002,0.3672570178336871,0.430936819456118,0.352254521598388,0.1747223971232557,0.256942686525714,0.3012922207308541,0.3286165722664849
2027-06-30,0.1653455943425001,0.2307001881326779,0.2086084145539364,,,,,,,,,,
2027-07-16,,,,,,,0.3636002938556476,,,,,,
2027-09-17,0.173069351894795,0.2370245687500371,0.2134268274209642,0.2897564386545362,0.3204782714095451,0.4036132054061594,0.3667424590615935,0.4326688831437343,0.3530773920777338,,0.2568928128859383,0.2986640460206063,0.3315213181057986
